Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Annotation Count Gene Protein-coding
GCA_022927925.1	PDT001277379.1	Vibrio parahaemolyticus		PNUSAV002697					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5544942	Contig	2022-04-12	ABFRRM01	4924
GCA_022927965.1	PDT001277378.1	Vibrio parahaemolyticus		PNUSAV002696					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5203949	Contig	2022-04-12	ABFRRN01	4619
GCA_022927985.1	PDT001277377.1	Vibrio vulnificus		PNUSAV002695					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5123826	Contig	2022-04-12	ABFRRO01	4539
GCA_022928005.1	PDT001277376.1	Vibrio parahaemolyticus		PNUSAV002698					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5050465	Contig	2022-04-12	ABFRRP01	4551
GCA_022946815.1	PDT001283865.1	Vibrio cholerae		PNUSAV002729					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4104953	Contig	2022-04-12	ABFSTF01	3652
GCA_022948875.1	PDT001283870.1	Vibrio vulnificus		V21010196					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4945904	Contig	2022-04-12	ABFSXD01	4361
GCA_022948895.1	PDT001283868.1	Vibrio parahaemolyticus		PNUSAV002727					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5344682	Contig	2022-04-12	ABFSXH01	4762
GCA_022948915.1	PDT001283869.1	Vibrio vulnificus		V21010195					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4970752	Contig	2022-04-12	ABFSXG01	4488
GCA_022948955.1	PDT001283867.1	Vibrio cholerae		PNUSAV002738					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4246492	Contig	2022-04-12	ABFSXI01	3789
GCA_022948975.1	PDT001283866.1	Vibrio cholerae		PNUSAV002728					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4131060	Contig	2022-04-12	ABFSXJ01	3680
GCA_022950555.1	PDT001276165.1	Vibrio parahaemolyticus		V21010174					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5446909	Contig	2022-04-12	ABFTAJ01	4840
GCA_022966375.1	PDT001276665.1	Vibrio cholerae		19KS02SH01-3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4047969	Contig	2022-04-13	ABFUAR01	3576
GCA_022966475.1	PDT001276622.1	Vibrio parahaemolyticus		19SD02SH07					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5534020	Contig	2022-04-13	ABFUBK01	4944
GCA_022966935.1	PDT001276664.1	Vibrio cholerae		19KS02SH01-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4059593	Contig	2022-04-13	ABFUAS01	3584
GCA_022966955.1	PDT001276659.1	Vibrio parahaemolyticus		19MO03SH03-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5417688	Contig	2022-04-13	ABFUAU01	4998
GCA_022966985.1	PDT001276663.1	Vibrio vulnificus		19KS02SH04-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5235573	Contig	2022-04-13	ABFUAV01	4616
GCA_022967035.1	PDT001276658.1	Vibrio parahaemolyticus		19MO03SH05					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5515997	Contig	2022-04-13	ABFUAT01	4983
GCA_022967115.1	PDT001276629.1	Vibrio parahaemolyticus		19MO01SH03					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5687026	Contig	2022-04-13	ABFUBH01	5087
GCA_022967135.1	PDT001276630.1	Vibrio parahaemolyticus		19MO01SH02					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5274139	Contig	2022-04-13	ABFUBG01	4773
GCA_022967155.1	PDT001276627.1	Vibrio parahaemolyticus		19MO01SH06					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5407713	Contig	2022-04-13	ABFUBI01	4894
GCA_022967175.1	PDT001276623.1	Vibrio parahaemolyticus		19CA03SH03					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5289068	Contig	2022-04-13	ABFUBJ01	4761
GCA_022967455.1	PDT001276573.1	Vibrio cholerae		19NY03SH07					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4039919	Contig	2022-04-13	ABFUCA01	3542
GCA_022967475.1	PDT001276575.1	Vibrio parahaemolyticus		19NY01SH07					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5324295	Contig	2022-04-13	ABFUBY01	4752
GCA_022967495.1	PDT001276574.1	Vibrio parahaemolyticus		19NY03SH02					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5390384	Contig	2022-04-13	ABFUBZ01	4802
GCA_022967515.1	PDT001276572.1	Vibrio parahaemolyticus		19GA03SH04					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5163548	Contig	2022-04-13	ABFUCB01	4669
GCA_022967535.1	PDT001276571.1	Vibrio parahaemolyticus		19SD04SH02					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5268067	Contig	2022-04-13	ABFUCC01	4661
GCA_022967915.1	PDT001276661.1	Vibrio parahaemolyticus		19MO03SH02					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5515977	Contig	2022-04-13	ABFUCZ01	4946
GCA_022995865.1	PDT001287360.1	Vibrio cholerae		PNUSAV002722					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4016781	Contig	2022-04-14	ABFUXY01	3549
GCA_022995945.1	PDT001287357.1	Vibrio parahaemolyticus		PNUSAV002723					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5377004	Contig	2022-04-14	ABFUXZ01	4800
GCA_022997325.1	PDT001287365.1	Vibrio parahaemolyticus		PNUSAV002730					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5107690	Contig	2022-04-14	ABFUZC01	4567
GCA_023004145.1	PDT001287362.1	Vibrio parahaemolyticus		PNUSAV002724					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5324825	Contig	2022-04-14	ABFVBD01	4779
GCA_023079625.1	PDT001287741.1	Vibrio parahaemolyticus		PHLUSAVBR00321					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5075821	Contig	2022-04-21	ABFWXS01	4497
GCA_023079645.1	PDT001287810.1	Vibrio parahaemolyticus		PHLUSAVBR00300					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5506842	Contig	2022-04-21	ABFWXV01	4947
GCA_023079665.1	PDT001287808.1	Vibrio parahaemolyticus		PHLUSAVBR00302					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5233695	Contig	2022-04-21	ABFWXR01	4712
GCA_023079685.1	PDT001287738.1	Vibrio parahaemolyticus		PHLUSAVBR00324					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5430870	Contig	2022-04-21	ABFWXU01	4871
GCA_023079705.1	PDT001287803.1	Vibrio parahaemolyticus		PHLUSAVBR00307					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5252670	Contig	2022-04-21	ABFWXW01	4763
GCA_023079725.1	PDT001287798.1	Vibrio parahaemolyticus		PHLUSAVBR00313					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5287947	Contig	2022-04-21	ABFWXT01	4698
GCA_023079745.1	PDT001287762.1	Vibrio vulnificus		PHLUSAVBR00315					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4911963	Contig	2022-04-21	ABFWXY01	4333
GCA_023079765.1	PDT001287758.1	Vibrio parahaemolyticus		PHLUSAVBR00328					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5276611	Contig	2022-04-21	ABFWXZ01	4689
GCA_023079785.1	PDT001287791.1	Vibrio vulnificus		PHLUSAVBR00295					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5108951	Contig	2022-04-21	ABFWXX01	4702
GCA_023079805.1	PDT001287754.1	Vibrio parahaemolyticus		PHLUSAVBR00332					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5052678	Contig	2022-04-21	ABFWYA01	4460
GCA_023079825.1	PDT001287753.1	Vibrio parahaemolyticus		PHLUSAVBR00333					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5107298	Contig	2022-04-21	ABFWYB01	4576
GCA_023079845.1	PDT001287748.1	Vibrio parahaemolyticus		PHLUSAVBR00338					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5096220	Contig	2022-04-21	ABFWYE01	4543
GCA_023079865.1	PDT001287752.1	Vibrio parahaemolyticus		PHLUSAVBR00335					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5354992	Contig	2022-04-21	ABFWYC01	4821
GCA_023079885.1	PDT001287746.1	Vibrio parahaemolyticus		PHLUSAVBR00340					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5290332	Contig	2022-04-21	ABFWYD01	4700
GCA_023079905.1	PDT001287743.1	Vibrio parahaemolyticus		PHLUSAVBR00319					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5135773	Contig	2022-04-21	ABFWYF01	4619
GCA_023079925.1	PDT001287742.1	Vibrio parahaemolyticus		PHLUSAVBR00320					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5254487	Contig	2022-04-21	ABFWYG01	4726
GCA_023079945.1	PDT001287739.1	Vibrio parahaemolyticus		PHLUSAVBR00323					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5251836	Contig	2022-04-21	ABFWYH01	4743
GCA_023079965.1	PDT001287813.1	Vibrio parahaemolyticus		PHLUSAVBR00287					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5379479	Contig	2022-04-21	ABFWYI01	4816
GCA_023079985.1	PDT001287809.1	Vibrio parahaemolyticus		PHLUSAVBR00301					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5428459	Contig	2022-04-21	ABFWYJ01	4878
GCA_023080005.1	PDT001287804.1	Vibrio vulnificus		PHLUSAVBR00306					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5011704	Contig	2022-04-21	ABFWYM01	4598
GCA_023080025.1	PDT001287806.1	Vibrio parahaemolyticus		PHLUSAVBR00304					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4964328	Contig	2022-04-21	ABFWYK01	4369
GCA_023080045.1	PDT001287802.1	Vibrio parahaemolyticus		PHLUSAVBR00288					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5658919	Contig	2022-04-21	ABFWYL01	5116
GCA_023080065.1	PDT001287797.1	Vibrio parahaemolyticus		PHLUSAVBR00314					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5091787	Contig	2022-04-21	ABFWYN01	4584
GCA_023080085.1	PDT001287796.1	Vibrio parahaemolyticus		PHLUSAVBR00289					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5412430	Contig	2022-04-21	ABFWYO01	4876
GCA_023080105.1	PDT001287757.1	Vibrio parahaemolyticus		PHLUSAVBR00329					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5063252	Contig	2022-04-21	ABFWYQ01	4528
GCA_023080125.1	PDT001287760.1	Vibrio parahaemolyticus		PHLUSAVBR00326					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5275811	Contig	2022-04-21	ABFWYP01	4709
GCA_023080145.1	PDT001287751.1	Vibrio parahaemolyticus		PHLUSAVBR00336					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5382869	Contig	2022-04-21	ABFWYR01	4876
GCA_023080165.1	PDT001287749.1	Vibrio parahaemolyticus		PHLUSAVBR00337					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5095486	Contig	2022-04-21	ABFWYS01	4609
GCA_023080185.1	PDT001287747.1	Vibrio parahaemolyticus		PHLUSAVBR00339					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5262475	Contig	2022-04-21	ABFWYT01	4743
GCA_023080205.1	PDT001287744.1	Vibrio parahaemolyticus		PHLUSAVBR00318					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5186170	Contig	2022-04-21	ABFWYU01	4642
GCA_023080225.1	PDT001287814.1	Vibrio parahaemolyticus		PHLUSAVBR00286					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5286418	Contig	2022-04-21	ABFWYV01	4709
GCA_023080245.1	PDT001287807.1	Vibrio parahaemolyticus		PHLUSAVBR00303					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5415901	Contig	2022-04-21	ABFWYW01	4743
GCA_023080265.1	PDT001287795.1	Vibrio parahaemolyticus		PHLUSAVBR00290					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5524947	Contig	2022-04-21	ABFWYX01	4927
GCA_023080285.1	PDT001287761.1	Vibrio parahaemolyticus		PHLUSAVBR00316					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5326146	Contig	2022-04-21	ABFWYZ01	4738
GCA_023080305.1	PDT001287750.1	Vibrio parahaemolyticus		PHLUSAVBR00317					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5412811	Contig	2022-04-21	ABFWZA01	4819
GCA_023080325.1	PDT001287740.1	Vibrio parahaemolyticus		PHLUSAVBR00322					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5322190	Contig	2022-04-21	ABFWZB01	4742
GCA_023080345.1	PDT001287812.1	Vibrio parahaemolyticus		PHLUSAVBR00297					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5563070	Contig	2022-04-21	ABFWZC01	4954
GCA_023080365.1	PDT001287794.1	Vibrio parahaemolyticus		PHLUSAVBR00292					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5881730	Contig	2022-04-21	ABFWYY01	5174
GCA_023080385.1	PDT001287805.1	Vibrio parahaemolyticus		PHLUSAVBR00305					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5340292	Contig	2022-04-21	ABFWZE01	4748
GCA_023080405.1	PDT001287811.1	Vibrio parahaemolyticus		PHLUSAVBR00298					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5635912	Contig	2022-04-21	ABFWZD01	5028
GCA_023080425.1	PDT001287801.1	Vibrio parahaemolyticus		PHLUSAVBR00308					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5355845	Contig	2022-04-21	ABFWZF01	4799
GCA_023080455.1	PDT001287799.1	Vibrio parahaemolyticus		PHLUSAVBR00310					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5116074	Contig	2022-04-21	ABFWZH01	4668
GCA_023080475.1	PDT001287800.1	Vibrio parahaemolyticus		PHLUSAVBR00309					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5421476	Contig	2022-04-21	ABFWZG01	4922
GCA_023080495.1	PDT001287790.1	Vibrio parahaemolyticus		PHLUSAVBR00296					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5355545	Contig	2022-04-21	ABFWZJ01	4823
GCA_023080515.1	PDT001287792.1	Vibrio parahaemolyticus		PHLUSAVBR00294					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5426270	Contig	2022-04-21	ABFWZI01	4874
GCA_023080535.1	PDT001287759.1	Vibrio parahaemolyticus		PHLUSAVBR00327					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5175033	Contig	2022-04-21	ABFWZK01	4568
GCA_023080555.1	PDT001287756.1	Vibrio parahaemolyticus		PHLUSAVBR00330					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5105705	Contig	2022-04-21	ABFWZL01	4530
GCA_023080575.1	PDT001287745.1	Vibrio vulnificus		PHLUSAVBR00341					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5025122	Contig	2022-04-21	ABFWZM01	4602
GCA_023080595.1	PDT001287793.1	Vibrio vulnificus		PHLUSAVBR00293					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5202237	Contig	2022-04-21	ABFWZO01	4737
GCA_023080615.1	PDT001287755.1	Vibrio parahaemolyticus		PHLUSAVBR00331					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5129287	Contig	2022-04-21	ABFWZN01	4564
GCA_023081145.1	PDT001290655.1	Vibrio parahaemolyticus		PHLUSAVBR00259					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5441478	Contig	2022-04-21	ABFWZP01	4850
GCA_023081165.1	PDT001290654.1	Vibrio parahaemolyticus		PHLUSAVBR00260					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5584569	Contig	2022-04-21	ABFWZQ01	5084
GCA_023081185.1	PDT001290651.1	Vibrio parahaemolyticus		PHLUSAVBR00271					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5489931	Contig	2022-04-21	ABFWZS01	4894
GCA_023081205.1	PDT001290649.1	Vibrio parahaemolyticus		PHLUSAVBR00274					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5423982	Contig	2022-04-21	ABFWZT01	4855
GCA_023081225.1	PDT001290652.1	Vibrio parahaemolyticus		PHLUSAVBR00270					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5509440	Contig	2022-04-21	ABFWZR01	4896
GCA_023081245.1	PDT001290648.1	Vibrio parahaemolyticus		PHLUSAVBR00276					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5269250	Contig	2022-04-21	ABFWZU01	4679
GCA_023081265.1	PDT001290646.1	Vibrio parahaemolyticus		PHLUSAVBR00278					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5459623	Contig	2022-04-21	ABFWZW01	4907
GCA_023081285.1	PDT001290647.1	Vibrio parahaemolyticus		PHLUSAVBR00277					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5392850	Contig	2022-04-21	ABFWZV01	4767
GCA_023081305.1	PDT001290643.1	Vibrio parahaemolyticus		PHLUSAVBR00261					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5244665	Contig	2022-04-21	ABFWZZ01	4664
GCA_023081325.1	PDT001290644.1	Vibrio parahaemolyticus		PHLUSAVBR00280					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5492489	Contig	2022-04-21	ABFWZY01	4924
GCA_023081345.1	PDT001290642.1	Vibrio parahaemolyticus		PHLUSAVBR00281					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5345771	Contig	2022-04-21	ABFWZX01	4760
GCA_023081365.1	PDT001290641.1	Vibrio parahaemolyticus		PHLUSAVBR00282					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5434652	Contig	2022-04-21	ABFXAA01	4838
GCA_023081385.1	PDT001290640.1	Vibrio parahaemolyticus		PHLUSAVBR00283					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5431823	Contig	2022-04-21	ABFXAB01	4855
GCA_023081415.1	PDT001290639.1	Vibrio parahaemolyticus		PHLUSAVBR00284					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5068516	Contig	2022-04-21	ABFXAC01	4491
GCA_023081435.1	PDT001290638.1	Vibrio parahaemolyticus		PHLUSAVBR00285					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5557503	Contig	2022-04-21	ABFXAD01	4940
GCA_023081455.1	PDT001290637.1	Vibrio parahaemolyticus		PHLUSAVBR00262					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5411381	Contig	2022-04-21	ABFXAE01	4872
GCA_023081475.1	PDT001290636.1	Vibrio parahaemolyticus		PHLUSAVBR00263					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5200479	Contig	2022-04-21	ABFXAF01	4580
GCA_023081495.1	PDT001290634.1	Vibrio parahaemolyticus		PHLUSAVBR00265					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5668807	Contig	2022-04-21	ABFXAG01	5063
GCA_023081515.1	PDT001290653.1	Vibrio parahaemolyticus		PHLUSAVBR00269					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5516430	Contig	2022-04-21	ABFXAJ01	4979
GCA_023081535.1	PDT001290650.1	Vibrio parahaemolyticus		PHLUSAVBR00273					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5627916	Contig	2022-04-21	ABFXAH01	4995
GCA_023081555.1	PDT001290632.1	Vibrio parahaemolyticus		PHLUSAVBR00267					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5531117	Contig	2022-04-21	ABFXAI01	4982
GCA_023081575.1	PDT001290631.1	Vibrio parahaemolyticus		PHLUSAVBR00268					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5252381	Contig	2022-04-21	ABFXAL01	4653
GCA_023081595.1	PDT001290633.1	Vibrio parahaemolyticus		PHLUSAVBR00266					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5796048	Contig	2022-04-21	ABFXAM01	5245
GCA_023081615.1	PDT001290715.1	Vibrio parahaemolyticus		PHLUSAVBR00234					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5257726	Contig	2022-04-21	ABFXAK01	4705
GCA_023081635.1	PDT001290716.1	Vibrio parahaemolyticus		PHLUSAVBR00233					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5584658	Contig	2022-04-21	ABFXAP01	5067
GCA_023081655.1	PDT001290700.1	Vibrio parahaemolyticus		PHLUSAVBR00258					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5079103	Contig	2022-04-21	ABFXAO01	4510
GCA_023081675.1	PDT001290705.1	Vibrio parahaemolyticus		PHLUSAVBR00253					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5143990	Contig	2022-04-21	ABFXAN01	4573
GCA_023081695.1	PDT001290714.1	Vibrio parahaemolyticus		PHLUSAVBR00244					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5256833	Contig	2022-04-21	ABFXAQ01	4709
GCA_023081715.1	PDT001290635.1	Vibrio parahaemolyticus		PHLUSAVBR00264					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5875420	Contig	2022-04-21	ABFXAS01	5328
GCA_023081735.1	PDT001290713.1	Vibrio parahaemolyticus		PHLUSAVBR00245					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5077906	Contig	2022-04-21	ABFXAT01	4522
GCA_023081755.1	PDT001290711.1	Vibrio parahaemolyticus		PHLUSAVBR00247					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5139420	Contig	2022-04-21	ABFXAU01	4602
GCA_023081775.1	PDT001290704.1	Vibrio parahaemolyticus		PHLUSAVBR00235					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5353090	Contig	2022-04-21	ABFXAR01	4811
GCA_023081795.1	PDT001290709.1	Vibrio parahaemolyticus		PHLUSAVBR00249					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5087401	Contig	2022-04-21	ABFXAV01	4540
GCA_023081815.1	PDT001290703.1	Vibrio parahaemolyticus		PHLUSAVBR00254					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5488777	Contig	2022-04-21	ABFXAX01	4934
GCA_023081835.1	PDT001290706.1	Vibrio parahaemolyticus		PHLUSAVBR00252					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5056312	Contig	2022-04-21	ABFXAW01	4491
GCA_023081855.1	PDT001290702.1	Vibrio parahaemolyticus		PHLUSAVBR00255					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5351745	Contig	2022-04-21	ABFXAY01	4763
GCA_023081875.1	PDT001290701.1	Vibrio parahaemolyticus		PHLUSAVBR00257					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5357793	Contig	2022-04-21	ABFXAZ01	4810
GCA_023081895.1	PDT001290699.1	Vibrio parahaemolyticus		PHLUSAVBR00299					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5462335	Contig	2022-04-21	ABFXBA01	4885
GCA_023081915.1	PDT001290697.1	Vibrio parahaemolyticus		PHLUSAVBR00237					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5331413	Contig	2022-04-21	ABFXBD01	4785
GCA_023081935.1	PDT001290693.1	Vibrio parahaemolyticus		PHLUSAVBR00242					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5479547	Contig	2022-04-21	ABFXBE01	4928
GCA_023081955.1	PDT001290698.1	Vibrio parahaemolyticus		PHLUSAVBR00236					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5701268	Contig	2022-04-21	ABFXBB01	5146
GCA_023081975.1	PDT001290695.1	Vibrio parahaemolyticus		PHLUSAVBR00239					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5089450	Contig	2022-04-21	ABFXBC01	4512
GCA_023081995.1	PDT001290692.1	Vibrio parahaemolyticus		PHLUSAVBR00243					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5449376	Contig	2022-04-21	ABFXBF01	4891
GCA_023082015.1	PDT001290707.1	Vibrio parahaemolyticus		PHLUSAVBR00251					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5204532	Contig	2022-04-21	ABFXBH01	4679
GCA_023082035.1	PDT001290708.1	Vibrio parahaemolyticus		PHLUSAVBR00250					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5908510	Contig	2022-04-21	ABFXBG01	5367
GCA_023082055.1	PDT001290696.1	Vibrio parahaemolyticus		PHLUSAVBR00238					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5354956	Contig	2022-04-21	ABFXBI01	4833
GCA_023092625.1	PDT001292839.1	Vibrio parahaemolyticus		PNUSAV002743					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5534683	Contig	2022-04-22	ABFXIE01	4935
GCA_023120595.1	PDT001294279.1	Vibrio vulnificus		PNUSAV002744					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4969807	Contig	2022-04-26	ABFYGA01	4413
GCA_023121315.1	PDT001294211.1	Vibrio parahaemolyticus		PNUSAV002746					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5259490	Contig	2022-04-26	ABFYGC01	4738
GCA_023121335.1	PDT001294212.1	Vibrio parahaemolyticus		PNUSAV002745					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5089418	Contig	2022-04-26	ABFYGB01	4492
GCA_023145695.1	ASM2314569v1	Vibrio amylolyticus		ZSDE26					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4861024	Contig	2022-04-27	JAJHVV01	4251
GCA_023161645.1	ASM2316164v1	Vibrio sp. 1CM7H		1CM7H					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5089380	Scaffold	2022-04-27	JALNTV01	4602
GCA_023161685.1	ASM2316168v1	Vibrio sp. 1CM8B		1CM8B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5422197	Scaffold	2022-04-27	JALNTU01	4673
GCA_023161695.1	ASM2316169v1	Vibrio sp. 1CM2L		1CM2L					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5442592	Scaffold	2022-04-27	JALNTT01	4712
GCA_023161725.1	ASM2316172v1	Vibrio sp. 1CM24A		1CM24A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5439658	Scaffold	2022-04-27	JALNTS01	4694
GCA_023161755.1	ASM2316175v1	Vibrio sp. 1CM23M		1CM23M					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5449425	Scaffold	2022-04-27	JALNTR01	4710
GCA_023161825.1	ASM2316182v1	Vibrio sp. 2CM40D		2CM40D					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5278222	Scaffold	2022-04-27	JALNTL01	4761
